tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36297,7725,8773706,146001,2017-08-01 16:23:56+00:00
892177421306343426,31301,5718,8773706,146001,2017-08-01 00:17:27+00:00
891815181378084864,23570,3786,8773706,146001,2017-07-31 00:18:03+00:00
891689557279858688,39598,7888,8773706,146001,2017-07-30 15:58:51+00:00
891327558926688256,37812,8506,8773706,146001,2017-07-29 16:00:24+00:00
891087950875897856,19046,2851,8773706,146001,2017-07-29 00:08:17+00:00
890971913173991426,11093,1855,8773705,146001,2017-07-28 16:27:12+00:00
890729181411237888,61165,17242,8773706,146001,2017-07-28 00:22:40+00:00
890609185150312448,26200,3924,8773705,146001,2017-07-27 16:25:51+00:00
890240255349198849,29949,6718,8773706,146001,2017-07-26 15:59:51+00:00
890006608113172480,28827,6702,8773706,146001,2017-07-26 00:31:25+00:00
889880896479866881,26217,4564,8773706,146001,2017-07-25 16:11:53+00:00
889665388333682689,45150,9152,8773706,146001,2017-07-25 01:55:32+00:00
889638837579907072,25414,4107,8773706,146001,2017-07-25 00:10:02+00:00
889531135344209921,14214,2061,8773706,146001,2017-07-24 17:02:04+00:00
889278841981685760,23678,4873,8773706,146001,2017-07-24 00:19:32+00:00
888917238123831296,27365,4116,8773706,146001,2017-07-23 00:22:39+00:00
888804989199671297,24047,3881,8773706,146001,2017-07-22 16:56:37+00:00
888554962724278272,18561,3185,8773707,146001,2017-07-22 00:23:06+00:00
888078434458587136,20472,3166,8773707,146001,2017-07-20 16:49:33+00:00
887705289381826560,28431,4921,8773707,146001,2017-07-19 16:06:48+00:00
887517139158093824,43599,10771,8773707,146001,2017-07-19 03:39:09+00:00
887473957103951883,64638,16460,8773706,146001,2017-07-19 00:47:34+00:00
887343217045368832,31637,9571,8773706,146001,2017-07-18 16:08:03+00:00
887101392804085760,28782,5452,8773706,146001,2017-07-18 00:07:08+00:00
886983233522544640,32847,7018,8773706,146001,2017-07-17 16:17:36+00:00
886736880519319552,11271,2940,8773706,146001,2017-07-16 23:58:41+00:00
886680336477933568,21120,4086,8773706,146001,2017-07-16 20:14:00+00:00
886366144734445568,19880,2895,8773706,146001,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8773706,146001,2017-07-15 16:51:35+00:00
886258384151887873,26323,5775,8773706,146001,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8773706,146001,2017-07-15 02:45:48+00:00
885984800019947520,30608,6143,8773706,146001,2017-07-14 22:10:11+00:00
885528943205470208,33794,5847,8773706,146001,2017-07-13 15:58:47+00:00
885518971528720385,19249,3408,8773706,146001,2017-07-13 15:19:09+00:00
885311592912609280,0,16942,8773706,146001,2017-07-13 01:35:06+00:00
885167619883638784,20591,3999,8773706,146001,2017-07-12 16:03:00+00:00
884925521741709313,72536,16558,8773706,146001,2017-07-12 00:01:00+00:00
884876753390489601,26195,5109,8773706,146001,2017-07-11 20:47:12+00:00
884562892145688576,22835,4301,8773706,146001,2017-07-11 00:00:02+00:00
884441805382717440,25471,5213,8773706,146001,2017-07-10 15:58:53+00:00
884247878851493888,68274,18602,8773706,146001,2017-07-10 03:08:17+00:00
884162670584377345,19182,2738,8773706,146001,2017-07-09 21:29:42+00:00
883838122936631299,20557,3145,8773706,146001,2017-07-09 00:00:04+00:00
883482846933004288,43078,9035,8773706,146001,2017-07-08 00:28:19+00:00
883360690899218434,21325,3388,8773706,146001,2017-07-07 16:22:55+00:00
883117836046086144,34869,6071,8773706,146001,2017-07-07 00:17:54+00:00
882992080364220416,22453,3563,8773706,146001,2017-07-06 15:58:11+00:00
882762694511734784,26583,4478,8773706,146001,2017-07-06 00:46:41+00:00
882627270321602560,26317,5562,8773706,146001,2017-07-05 15:48:34+00:00
882268110199369728,42167,10592,8773706,146001,2017-07-04 16:01:23+00:00
882045870035918850,27564,4471,8773706,146001,2017-07-04 01:18:17+00:00
881906580714921986,22882,3112,8773706,146001,2017-07-03 16:04:48+00:00
881666595344535552,47624,9774,8773706,146001,2017-07-03 00:11:11+00:00
881633300179243008,117,7,8773706,146001,2017-07-02 21:58:53+00:00
881536004380872706,46505,14611,8773706,146001,2017-07-02 15:32:16+00:00
881268444196462592,21854,4823,8773706,146001,2017-07-01 21:49:04+00:00
880935762899988482,16054,2552,8773706,146001,2017-06-30 23:47:07+00:00
880872448815771648,20028,3508,8773706,146001,2017-06-30 19:35:32+00:00
880465832366813184,26812,5696,8773706,146001,2017-06-29 16:39:47+00:00
880221127280381952,25377,3813,8773706,146001,2017-06-29 00:27:25+00:00
880095782870896641,25997,3977,8773706,146001,2017-06-28 16:09:20+00:00
879862464715927552,21048,3207,8773706,146001,2017-06-28 00:42:13+00:00
879674319642796034,297,10,8773706,146001,2017-06-27 12:14:36+00:00
879492040517615616,22092,2916,8773706,146001,2017-06-27 00:10:17+00:00
879415818425184262,99512,40701,8773706,146001,2017-06-26 19:07:24+00:00
879376492567855104,15812,2864,8773706,146001,2017-06-26 16:31:08+00:00
879130579576475649,0,6235,8773706,146001,2017-06-26 00:13:58+00:00
879050749262655488,21215,4300,8773706,146001,2017-06-25 18:56:45+00:00
879008229531029506,17883,2463,8773706,146001,2017-06-25 16:07:47+00:00
878776093423087618,18219,3748,8773706,146001,2017-06-25 00:45:22+00:00
878604707211726852,28363,6520,8773706,146001,2017-06-24 13:24:20+00:00
878404777348136964,0,1181,8773706,146001,2017-06-24 00:09:53+00:00
878316110768087041,0,6110,8773706,146001,2017-06-23 18:17:33+00:00
